V1,V2,V3,V4,V5,Q3,Q5_1_TEXT,Q5_3_TEXT,Q5_4_TEXT,Q5_5_TEXT,Q5_6_TEXT,Q5_7_TEXT,Q7,Q152,Q9,Q162,Q11,Q150_1,Q150_2,Q150_3,Q150_4,Q13,Q161,Q15,Q134,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q135_1,Q135_2,Q135_3,Q135_4,Q93,Q95,Q97,Q99,Q1522,Q136,Q154,Q155,Q156,Q157,Q158,Q159,Q160,Q1613,Q1624,Q137_1,Q137_2,Q137_3,Q137_4,Q113,Q114,Q115,Q116,Q153,Q139,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q170,Q171,Q138_1,Q138_2,Q138_3,Q138_4,Q117,Q118,Q119,Q120,Q1545,Q141,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q140_1,Q140_2,Q140_3,Q140_4,Q121,Q122,Q123,Q124,Q1556,Q143,Q199,Q200,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q142_1,Q142_2,Q142_3,Q142_4,Q125,Q126,Q127,Q128,Q1567,Q145,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q180,Q144_1,Q144_2,Q144_3,Q144_4,Q129,Q130,Q131,Q132,Q1578,Q147,Q217,Q218,Q219,Q220,Q221,Q222,Q223,Q224,Q225,Q146_1,Q146_2,Q146_3,Q146_4,Q133,Q1349,Q135,Q13610,Q15811,Q149,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q148_1,Q148_2,Q148_3,Q148_4,Q137,Q138,Q13912,Q140,Q15913,Q14914,Q208,Q209,Q210,Q211,Q212,Q213,Q214,Q215,Q216,Q148_115,Q148_216,Q148_317,Q148_418,Q14119,Q142,Q14320,Q144,Q16021,Q146,Q148,Q150,Q152_1,Q152_2,Q152_3,Q152_4,Q152_5,Q152_6,Q152_7,Q152_8,Q152_8_TEXT,Q15422,Q15623,Q15824
ResponseID,ResponseSet,StartDate,EndDate,Finished,Informed Consent   Study Title   How Pictures Affect the Comprehension and Memory for Text as a P...,Browser Meta Info-Browser,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Do you agree to participate in this study?,PLEASE NOTE: Participation in this study entails watching nine different videos between 30 and 60...,A paragraph is going to be presented one word at a time in a video. When you are done reading you...,"DO NOT WAIT TO WATCH A VIDEO. The video pages are timed, and will move along automatically. To en...",This is a practice paragraph. All of the paragraph be presented like this. Sometimes you will be...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,How difficult was it for you to read and understand the paragraph?,"While watching the video, did you encounter any technical difficulty (i.e.., frozen screen, buffe...",Please move on to the next page to the next page to begin the Experiment.,"When you are ready to read the next paragraph, please continue to the next page.",Click to write the question text,mpr,epr,bpu,mpu,epu,bs,ms,es,check1,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...","When you are ready to read the next paragraph, please continue to the next page.",bpr,mpr,epr,bpu,mpu,epu,bs,ms,es,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...","When you are ready to read the next paragraph, please continue to the next page.",bpr,mpr,epr,bpu,mpu,epu,bs,ms,es,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...","When you are ready to read the next paragraph, please continue to the next page.",Click to write the question text,mpr,epr,bpu,mpu,epu,bs,ms,es,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...","When you are ready to read the next paragraph, please continue to the next page.",bpr,mpr,epr,bpu,mpu,epu,bs,ms,es,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...","When you are ready to read the next paragraph, please continue to the next page.",bpr,mpr,epr,bpu,mpu,epu,bs,ms,es,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...","When you are ready to read the next paragraph, please continue to the next page.",bpr,mpr,epr,bpu,mpu,epu,bs,ms,es,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...","When you are ready to read the next paragraph, please continue to the next page.",bpr,mpr,epr,bpu,mpu,epu,bs,ms,es,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...","When you are ready to read the next paragraph, please continue to the next page.",bpr,mpr,epr,bpu,mpu,epu,bs,ms,es,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Write down everything you remember from the paragraph. Try to use as much of the exact wording fr...,What was the main topic of this paragraph? Write your answer in the space below:,Choose which of the following pictures was presented with the story.,Choose which of the following pictures was presented with the story.,"While watching the most recent video, did you encounter any technical difficulty (i.e.., frozen s...",Age (Please select one),Grade Level (Please select one),Gender (Please select one),Ethnicity (Please select all that apply)-White,Ethnicity (Please select all that apply)-African American,Ethnicity (Please select all that apply)-Hispanic,Ethnicity (Please select all that apply)-Native American,Ethnicity (Please select all that apply)-Asian,Ethnicity (Please select all that apply)-Middle Eastern,Ethnicity (Please select all that apply)-Do not wish to indicate,Ethnicity (Please select all that apply)-Other,Ethnicity (Please select all that apply)-Other-TEXT,Thank you for participating in our study. You have reached the end of the experiment. Your time a...,"Share your thoughts with us! If you had any comments regarding this study, or encountered any iss...","If you wish to receive SONA credit for participating in this experiment, please continue to the n..."
R_2rMGWw4igR3yeIJ,Default Response Set,9/1/16 9:10,9/1/16 9:34,1,1,Chrome,Windows NT 10.0,1920x1080,22.0.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.007,0,1,24,1,1,,,1,,,,,,,1,0,0,59.015,0,"Being outside is good, a shore is better than a road, to many people doing the same thing will cause problems, these are the simple things you need to remember. ",The simple things to remember,1,,24,1,,,,,,,,,,,,,,I didn't watch a video it immediately skipped to this page after I watched the previous video.,Read previous answer.,,,23,1,,,,,1,,,,,0,0,59.013,0,"The procedure is simple, you put the items in the machine and start it.  you wait until it finishes then you put it in another machine and wait.  After you finish you take them home you put them in their usual place.  ",Doing Laundry,,1,24,1,1,,,,,,,,,0,0,52.009,0,"riding a bike is a struggle but beginners prefer smooth surfaces other than curves and bumps, its a good idea to protect your head, your speed is up to you.",Riding a bike,1,,24,1,,,,1,,,,,,0,0,50.01,0,"something arrived at the door and it looked colorful and hot to the touch,  with impatience he spilled oil on his hand burning him and he thought he could last a few more minuets.",not sure,,1,24,1,,1,,,,,,,,0,0,47.011,0,Video is still not working,last three videos skipped,0,,23,1,,,,,,,1,,,0,0,46.009,0,"Changing a diaper was not something he had done recently but he needed to do it again, he hoped it wasn't to wet that it would leak, he pulled a clean diaper of the top of the stack and laid it flat, he laid it under the bottom and folded the top over and secured the straps.  It was not to loose and not to tight.",Changing a diaper,,,24,1,,,,,,,,1,,0,0,46.012,0,"At a young age he was not powerful, as he grew up he towered over everyone in money, statute, and power. He tried to implement Abraham Lincolns visions and he believed his actions were just. ","Money, statute, and power",,,24,1,,,,,,,,,1,0,0,46.013,0,The video stopped in the middle and skipped to this screen,video stopped and skipped here,,,23,7,3,1,1,,,,,,,,,1,Pretty difficult but I enjoyed the challenge.,1
R_2dSBJGXljCKi2gU,Default Response Set,9/1/16 9:42,9/1/16 10:06,1,1,Chrome,Windows NT 10.0,1366x768,22.0.0,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,5.34,10.527,38.052,3,1,24,1,1,1,,,,,,,,,0,0,0,59.011,0,a newspaper is better than a magazine. ,comparing,0,,24,1,,,,,1,,,,,0,0,44.025,0,even though they tried to prevent his scheme,prevention,,1,24,1,,,,,,,,1,,0,0,59.011,0,First you put them into piles then if you dont have a machine you take it somewhere then wait until it is done and put it all away. Then you do it all over again.,Laundry,,,24,1,,,1,,,,,,,0,0,52.01,0,you will want to have a dry sunny day and a straight rode. wear a helmet.,riding a bike,0,,24,1,,1,,,,,,,,0,0,50.012,0,It had seemed like hours until it arrived it was hot and splashing with hot oils. ,pizza,1,,24,1,,,,,,,,,1,0,0,47.008,0,the newness,newness,,,24,1,,,,,,1,,,,0,0,46.009,0,I knew it had been awhile before doing this task so i knew it was time,changing sheets,,0,24,1,,,,1,,,,,,0,0,46.004,0,He knew from a young age that people were either for him or against him. As a boy he was poor and as a man not.,poverty,,1,24,1,,,,,,,1,,,0,0,46.008,0,"When I first tried to build the snowman it did not work and it kept falling apart, I had looked forwad to this for four seasons.",snowman,,,24,9,3,2,1,,,,,,,,,1,,1
R_0wdaS4QDAdnkr0R,Default Response Set,9/1/16 11:18,9/1/16 11:33,1,1,Safari,Macintosh,1440x900,22.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7",1,1,1,,1,21.892,21.892,38.014,1,4,23,1,1,,,,,,,1,,,1,0,0,59.007,0,Try to read this paragraph,"I do not know, it never played ",,,23,1,1,,,,,,,,,0,0,44.012,0,Try reading this paragraph. ,"I do not know, it never played ",0,,23,1,,,,1,,,,,,0,0,59.553,0,Try reading this paragraph,"I do not know, it never played ",,1,23,1,,,,,,,,,1,0,0,52.009,0,"Try reading this paragraph, Want","I do not know, it never played",,,23,1,,,1,,,,,,,0,0,50.01,0,Try reading this paragraph. ,"I do not know, it never played ",0,,23,1,,,,,,,,1,,0,0,47.013,0,Try to read this paragraph ,"I do not know, it never played",,,23,1,,,,,1,,,,,0,0,46.012,0,Try reading this paragraph ,"I do not know, it never played ",,0,23,1,,,,,,1,,,,0,0,46.011,0,Try reading this paragraph.,"I do not know, it never played",,0,23,1,,1,,,,,,,,0,0,46.011,0,Try reading this paragraph. I like ,"I do not know, it never played",1,,23,3,2,1,1,,,,,,,,,1,My videos never played. I clicked the play button and nothing happened. I answered the questions as best I could. ,1
R_3nAtCiJWNQjUONz,Default Response Set,9/1/16 11:30,9/1/16 12:03,1,1,Chrome,Windows NT 6.3,1920x1080,22.0.0,,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,35.482,35.482,38.015,1,4,24,1,1,,,,,,,,1,,1,48.996,48.996,59.025,1,A newspaper is better than a magazine. ,Was there one?,,,23,1,,,1,,,,,,,0,0,44.016,0,The video messed up.,?,1,,23,1,,1,,,,,,,,0,0,59.019,0,It is not to hard to do it.  First you put them in and turn aht machine on.,Laundry,1,,24,1,1,,,,,,,,,0,0,52.005,0,My video was not working,I dont know,0,,23,1,,,,1,,,,,,0,0,50.013,0,It was very hot.  I was excited when it arrived.,Something hot arriving,,1,24,1,,,,,1,,,,,0,0,47.017,0,The news was very intimidating.  ,A new machine,,1,24,1,,,,,,,,,1,0,0,46.013,0,I guess it is time to try it again because I had not done it in a while.  I threw it away.  I folded a towel under it.  I folded the excess material underneath.,Folding a towel for something.,,,24,1,,,,,,,1,,,0,0,46.024,0,The decedents reap the benefits of Abraham Lincoln.   ,Abraham Lincoln ,,,24,1,,,,,,1,,,,0,0,46.02,0,I could not wait until the season was here.  ,Summer,,1,24,5,3,1,1,,,,,,,,,1,,1
R_3MamQO3Agy0RrqV,Default Response Set,9/1/16 12:02,9/1/16 12:34,1,1,Chrome,Windows NT 6.2,1366x768,22.0.0,,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,3.702,3.702,38.025,1,4,24,1,1,,,1,,,,,,,1,0,0,59.04,0,a beach is better than a street. it can be harder when everyone else is doing it at the same time.,being better,0,,23,1,,,,,,,,1,,0,0,44.02,0,"scornful, Christopher Columbus, sisters, jewels",seeking treasure,,,24,1,,1,,,,,,,,0,0,59.019,0,it is a simple process you put things in order one pile is enough if there is not a lot. then go somewhere else if you don't have a machine and wait in case anything goes wrong then when it is done you put them in another machine and watch them go around and once they are done you put them into piles again and later the process will need to be repeated.,washing laundry,1,,24,1,,,,1,,,,,,0,0,52.067,0,it is better to do it on a warm dry day than it is to do it on a windy wet day. it is better to use a straight one than a curvy one. if you do not have one then you may borrow a friend's. you can move fast or slow it is up to you. you can were a helmet for protection,hunting,,1,24,1,,,,,,,1,,,4.785,4.785,50.013,1,"the pizza was very hot and he was impatient and it had taken hours, the elastic string held together so he pulled it harder and hot oil dripped on his hand so he dropped it",impatient for pizza,,,24,1,,,,,,1,,,,2.86,2.86,47.029,1,open the box and it seemed to break but the top and bottom half was together. pressing the buttons on the bottom caused the screen to change,new machine,,1,24,1,1,,,,,,,,,3.518,3.518,46.034,1,i removed the old one once it was time to remove it. i folded it up and threw it away. i wiped the bottom with a wet towel. i removed a new one from the to of the stack and unfolded it flat. i slid it over the bottom and folded the extra material on top.,changing a diaper,1,,24,1,,,,,,,,,1,5.446,5.446,46.02,1,he was aware that some people were on his side and some were against him. he felt that it was his responsibility to make everyone on his side. as an adult he towered over everybody in stature and wisdom and learning.,a man,,,24,1,,,,,1,,,,,0,0,46.155,0,seasons added,creating a sculpture,,1,24,2,1,1,1,,,,,,,,,1,,1
R_2dfOtUqei33LHjB,Default Response Set,9/1/16 12:23,9/1/16 13:13,1,1,Safari,Macintosh,1440x900,20.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7",1,1,1,,1,0,0,38.016,0,3,24,1,1,1,,,,,,,,,0,0,0,59.011,0,"A newspaper is better than a magazine. Running is better than walking. It needs skills to practice it, but it's easy. Young children can do it. Many people do the same thing can cause problem. There are just a few things to remember when doing this activity.",some problems,1,,24,1,,1,,,,,,,,0,0,44.01,0,A man said someone deceived him.,Quality,1,,24,1,,,,,,,,,1,0,0,59.012,0,"The procedure was quite simple. You arrange everything into different groups. You put them in the machine and turn it on. There couldn't be too many things. Then you wait. Next, you put everything in another machine. Finally, you take things home when it stops and put things in their original place.",Laundry ,,,24,1,,,,,,1,,,,0,0,52.006,0,You want to be outside. A sunny day is better than a windy day. Beginners prefer something. You can borrow a friend with you. You need to make sure the size is suiting you. You also need to protect your head. ,Sports,,1,24,1,,,,,,,,1,,0,0,50.012,0,"It seemed like hours since I have called. I wonder whether it's too hot or not. The smell was strong. The pizza was very hot. When I move it, oil splashed, so I dropped it.",Hot pizza,,,24,1,,,,,,,1,,,0,0,47.01,0,"I was getting the hang of the new laptop. It was intimidating. When I open it, it seems that half of it was broken. I could hear a weird sound. I wait for some changes of my computer.",Broken laptop,,,24,1,,,,1,,,,,,0,0,46.008,0,It need time to do it because I did it before. Using a towel to clean the mess. I fold extra material over. It looked too tight. I hope the clothes will not leak.,Do something with clothes,,0,24,1,,,,,1,,,,,0,0,46.011,0,He was aware of the fact that people were either on his side or against him. He thought he had the responsibility to make everyone on his side. He had no money when he was a boy. Now he had a tremendous task.,A man,,1,24,1,,,1,,,,,,,0,0,46.007,0,"The conditions were right. I looked forward it for some seasons. At first, nothing stays together. I repeat the same process. The thing is assembled and I complete it.",Assemble a thing,1,,24,5,3,2,,,,,1,,,,,1,,1
R_2Y9XAeNkm2jLKD0,Default Response Set,9/1/16 13:19,9/1/16 13:42,1,1,Safari,Macintosh,1280x800,22.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7",1,1,1,,1,0,0,38.009,0,2,24,1,1,,,,,1,,,,,1,0,0,59.008,0,Newpaper is better than magazine. Seashore is better than a street. Birds fly. Children learn. Its easy to learn.,Comparing,,1,24,1,1,,,,,,,,,0,0,44.013,0,Sisters. valley. pondering people. knew it was just right. devised,Man going on a journey,1,,24,1,,,,,,,1,,,0,0,59.009,0,You have to put the clothes in and watch the machine wash. You have to stay in case something goes wrong. Then you move it to another machine and watch it spin round and round. The clothes will be taken out and used again and again and again.,doing the laundry,,,24,1,,,,,,,,1,,0,0,52.009,0,Getting a bike and mirrors would be a good idea to get around. You should protect your head when moving. We can move now or later it is up to you.,moving ,,,24,1,,,,,,1,,,,0,0,50.014,0,Very hot water burnt my hand. I dropped it and the oil went out of the pot. ,cooking,,1,24,1,,,,1,,,,,,0,0,47.011,0,moving my hands over the bottom of the thing made the screen change. I am starting to learn how to use my machine. It is new and the top and bottom are in good shape.,using a computer,,1,24,1,,,1,,,,,,,0,0,46.008,0,I hadn't done it for awhile. I used the cloth and thought it would stay. lay it flat on the table,changing a diaper,1,,24,1,,,,,,,,,1,0,0,46.011,0,Morals. He tried to get everyone on his side and on the right side. Abraham Lincoln.,Abraham Lincoln's vision,,,24,1,,1,,,,,,,,0,0,46.011,0,It started to take shape. The conditions were just right. I added sticks and rocks.  I started to put it together.,Building a snowman,1,,24,2,1,2,1,,,,,,,,,1,,1
R_2ashcp2ABTurBuA,Default Response Set,9/1/16 13:30,9/1/16 13:48,1,1,Chrome,Macintosh,1280x800,22.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.006,0,1,24,1,1,,1,,,,,,,,1,0,0,59.003,0,Rain soaks up very fast. A rock can act as an anchor. These are the few things you need to remember for this activity. ,Space,0,,24,1,,,,,1,,,,,0,0,44.003,0,My sister,A cat,,1,24,1,,,1,,,,,,,0,0,59.004,0,The procedure is simple. You put everything in the machine and sit and wait to make sure nothing goes wrong.,Laundry,1,,24,1,,,,,,,1,,,0,0,52.006,0,Riding a bike. Making sure all working parts are in good condition.,Riding a bike,,,24,1,,,,,,,,1,,0,0,50.003,0,I wondered if it was too hot to touch.,Pizza,,,24,1,,,,1,,,,,,0,0,47.004,0,The newness seemed intimidating.,Reading a new book,,1,24,1,,,,,,1,,,,0,0,46.006,0,It had been a while since I had done this task so I thought I might give it a try. ,A towel,,0,24,1,,,,,,,,,1,0,0,46.009,0,A man spoke up for his statue with being brave,Statue,,,24,1,1,,,,,,,,,0,0,46.003,0,Outdoors looked better than indoors. My creation was complete.,Building a snowman,1,,24,5,3,2,1,,,,,,,,,1,,1
R_2BxhPINwKiqT4I8,Default Response Set,9/1/16 13:40,9/1/16 14:03,1,1,Chrome,Macintosh,1440x900,22.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.03,0,2,24,1,1,,,,,,,,,1,1,0,0,59.026,0,A seashore is a better place than the street. A rock will be used as an anchor. If there are no distractions it will be peaceful. These are just a few things to remember when learning to fly a kite. ,How to fly a kite,,,24,1,,,,,,,,,,,,,,I didn't get a video for this one,No video ,,,23,1,,,,,,1,,,,0,0,59.021,0,The procedure is quite simple. You put the items in one machine and they go around. You then put them in another machine. After taking them out you can take the items home and put them in their usual places. After awhile you use them all and have to start the procedure over again. ,Washing clothes ,,1,24,1,,,,,,,1,,,0,0,52.026,0,Learning to ride a bike could help you get around quicker. Straight ways are much better than curvy ways. A dry day is better than a windy or wet day. You can add a mirror for better visibility if you want. Protecting your head is a good idea. ,Riding a bike,,,24,1,,1,,,,,,,,0,0,50.009,0,"At first it seemed like it would never come, but then it finally did. It was very hot but I was impatient. I pulled on it and elastic fibers held it together. As I was pulling hot oil dripped on me. Perhaps I could last a few more minutes, but I was impatient. ",Grabbing a slice of pizza ,1,,24,1,,,,,1,,,,,0,0,47.007,0,Pushing one  black square. It held together. ,a book,,1,24,1,,,,,,,,1,,0,0,46.011,0,"I took the old one off. I took a new one from the stack of clean ones. I was careful not to make a mess with the old one. After putting it on I secured the tabs around the middle. It looked snug, but a little too tight. ",Changing a diaper ,,,24,1,,,1,,,,,,,0,0,46.014,0,He knew people were on his side or against him. He stood towering in stature over other people. Something about learning and speaking. ,Abe Lincoln ,1,,24,1,,,,1,,,,,,0,0,46.011,0,The time was right. The outdoors were better than indoors. Something stuck to my clothes. ,Designing something ,,1,24,6,4,1,1,,,,,,,,,1,,1
